CustomerID,Recency,Frequence,MonetarySum,MonetaryMean,Monetary_80_days,prob_80_days
12346,-283.0,1,254705.88,254705.88,0.0,0.0
12747,-53.0,10,12814.824,139.2915652173913,93.819,1.0
12748,0.0,185,88425.579,24.859594883328647,24.123771028037382,1.0
12749,-116.0,3,9092.259,71.0332734375,62.079507042253525,1.0
12820,-30.0,4,3109.722,52.70715254237288,0.0,0.0
12821,-170.0,1,305.976,50.996,0.0,0.0
12822,-13.0,2,3131.304,68.07182608695652,0.0,0.0
12823,-61.0,5,5806.35,1161.27,0.0,0.0
12824,-104.0,1,1310.496,52.41984,0.0,0.0
12826,-47.0,7,4866.576,53.478857142857144,0.0,0.0
12827,-30.0,2,1051.71,52.5855,73.557,1.0
12828,-52.0,5,2458.269,57.169046511627904,69.498,1.0
12829,-375.0,2,966.9,87.89999999999999,0.0,0.0
12830,-24.0,6,22488.312,591.7976842105263,0.0,0.0
12831,-248.0,1,709.665,78.85166666666666,0.0,0.0
12832,-84.0,2,1263.999,46.81477777777778,0.0,0.0
12834,-269.0,1,1030.854,57.269666666666666,0.0,0.0
12836,-104.0,4,8614.188,49.506827586206896,0.0,0.0
12837,-159.0,1,442.53000000000003,36.877500000000005,0.0,0.0
12838,-20.0,2,2217.435,18.478625,0.0,0.0
12839,-11.0,12,15490.926,58.018449438202246,62.99489361702128,1.0
12840,-130.0,4,8998.341,79.63133628318585,0.0,0.0
12841,-1.0,21,11441.958,32.598170940170945,27.464380952380953,1.0
12842,-56.0,2,3692.667,108.60785294117647,0.0,0.0
12843,-52.0,7,4607.328,54.203858823529416,56.11833333333333,1.0
12844,-116.0,2,1075.668,20.685923076923075,0.0,0.0
12845,-50.0,3,925.947,35.61334615384615,242.54999999999998,1.0
12849,-50.0,2,3333.957,69.4574375,0.0,0.0
12851,-83.0,1,434.973,9.254744680851065,0.0,0.0
12852,-281.0,1,1028.115,60.47735294117647,0.0,0.0
12853,-110.0,6,6458.43,82.80038461538462,0.0,0.0
12854,-65.0,3,4343.625,39.84977064220183,0.0,0.0
12855,-359.0,1,125.73,41.910000000000004,0.0,0.0
12856,-5.0,5,6460.344,24.657801526717556,14.351632653061225,1.0
12857,-79.0,2,3651.12,79.37217391304348,0.0,0.0
12863,-38.0,1,1719.96,343.992,0.0,0.0
12864,-124.0,1,485.496,161.832,0.0,0.0
12867,-42.0,7,13230.822,24.776820224719103,0.0,0.0
12868,-50.0,6,5303.298,49.56353271028037,0.0,0.0
12872,-313.0,2,1979.901,29.9985,0.0,0.0
12873,-268.0,1,1234.1999999999998,308.54999999999995,0.0,0.0
12875,-129.0,2,1132.659,566.3295,0.0,0.0
12877,-64.0,9,2915.814,47.80022950819672,23.142225806451613,1.0
12879,-31.0,3,1891.6259999999997,189.16259999999997,0.0,0.0
12881,-262.0,1,983.4,140.4857142857143,0.0,0.0
12882,-20.0,1,1557.0720000000001,311.4144,408.87,1.0
12883,-11.0,4,2321.451,55.272642857142856,0.0,0.0
12884,-44.0,1,1019.865,145.695,0.0,0.0
12885,-224.0,3,3878.226,54.62290140845071,0.0,0.0
12886,-54.0,2,4548.72,55.47219512195122,0.0,0.0
12888,-170.0,2,1168.596,233.7192,0.0,0.0
12891,-207.0,3,1092.3000000000002,364.1000000000001,0.0,0.0
12893,-195.0,1,582.615,18.794032258064515,0.0,0.0
12895,-13.0,2,1230.24,55.92,0.0,0.0
12897,-191.0,2,714.45,178.6125,0.0,0.0
12901,-24.0,20,43003.850999999995,421.6063823529411,1089.723642857143,1.0
12904,-4.0,2,1636.998,23.05630985915493,0.0,0.0
12906,-64.0,2,6390.747,135.97334042553192,202.78912499999998,1.0
12908,-299.0,1,1049.4,1049.4,1425.6,1.0
12909,-26.0,5,7189.611,79.00671428571428,0.0,0.0
12910,-64.0,6,8634.714,128.87632835820895,189.11475000000002,1.0
12912,0.0,3,2989.998,229.99984615384616,226.872,1.0
12913,-2.0,4,6430.148999999999,173.78781081081078,135.8330769230769,1.0
12915,-46.0,2,1200.045,54.54750000000001,0.0,0.0
12916,-125.0,4,9718.335,94.35276699029126,0.0,0.0
12917,-114.0,1,1960.2,980.1,0.0,0.0
12919,-3.0,5,3456.0570000000002,82.28707142857144,118.75874999999999,1.0
12920,-3.0,1,537.174,19.895333333333333,0.0,0.0
12921,-1.0,32,44544.588,73.02391475409837,92.66190000000002,1.0
12922,-147.0,1,1337.7540000000001,47.77692857142858,0.0,0.0
12923,-255.0,1,570.306,20.36807142857143,0.0,0.0
